"rule_id","rule_name","family_name","severity_name","error_rate_pct","test_volume","avg_exec_ms"
90,MaxNumberOfWordsPerSentence,Phrase,Severe,100.0,7,
85,GIFASTokenCount,Phrase,Severe,100.0,11,
91,MaxNumberOfWordsPerSentenceTitle,Titre,Severe,60.0,5,
113,TooManyClausesNoGerund,Phrase,Severe,59.78260869565217,92,
74,GIFAS1InfoMax,Phrase,Severe,59.183673469387756,49,
108,ProhibitedTensesForDirectives,Verbe,Severe,44.44444444444444,9,
70,BracketsContentInfo,Phrase,Severe,39.0625,64,
94,MultipleConjunctions,Phrase,Majeur,33.333333333333336,6,
84,GIFASProhibitedTenses,Verbe,Severe,32.142857142857146,28,
82,GIFASPresentParticiple,Verbe,Majeur,29.166666666666668,24,
73,DoubleNegation,Phrase,Severe,28.571428571428573,63,
75,GIFAS1InstructionMax,Phrase,Severe,28.571428571428573,49,
76,GIFASAction,Phrase,Severe,27.272727272727273,22,
107,ProhibitedTenses,Verbe,Severe,26.666666666666668,15,
86,GIFASWordNotApproved,Vocabulaire,Severe,25.675675675675677,74,
99,Omission,Phrase,Severe,23.91304347826087,46,
111,TooManyBracketPairs,Phrase,Majeur,23.80952380952381,21,
77,GIFASActionInWarning,Alerte,Severe,23.333333333333332,30,
115,TooManyVerbsWithCond,Phrase,Severe,22.448979591836736,49,
68,AcceptableUnit,Unite,Majeur,22.22222222222222,81,
101,PhrasingComplexity,Vocabulaire,Severe,21.875,64,
89,ListWithIntroductorySentenceRegex,Liste,Majeur,21.05263157894737,19,
81,GIFASPassiveVoice,Verbe,Severe,20.0,55,
83,GIFASProhibitedPunctuation,Ponctuation,Majeur,17.94871794871795,39,
112,TooManyClauses,Phrase,Severe,15.789473684210526,95,
103,ProhibitedPunctuation,Ponctuation,Mineur,15.517241379310345,58,
92,Modal,Verbe,Severe,14.705882352941176,68,
87,InadequatePhrasing,Vocabulaire,Severe,13.72549019607843,51,
102,PhrasingVagueness,Vocabulaire,Severe,9.782608695652174,92,
69,BracketsContent,Phrase,Severe,9.523809523809524,63,
98,NumeralThousandFormat,Chiffre,Mineur,8.333333333333334,24,
71,CondLocation,Phrase,Severe,8.16326530612245,49,
95,NumeralDecimalDigit,Chiffre,Mineur,7.317073170731708,41,
93,ModalForDirectives,Verbe,Severe,6.521739130434782,46,
96,NumeralDecimalSep,Chiffre,Mineur,5.882352941176471,34,
79,GIFASNoActionInNote,Note,Severe,4.166666666666667,24,
78,GIFASConjunctionBeforeVerb,Phrase,Severe,2.608695652173913,115,
109,SafetySemanticField,Note,Severe,1.075268817204301,93,
61,AcceptableTitleIsUnique,Titre,Mineur,0.0,2,
105,ProhibitedPunctuationForItems,Ponctuation,Mineur,0.0,10,
72,CondPhrasing,Phrase,Severe,0.0,50,
66,AcceptableTitleNotAlone,Titre,Mineur,0.0,2,
63,AcceptableTitleLevelMaxToC,Titre,Majeur,0.0,2,
100,PeriodAtEndOfList,Liste,Mineur,0.0,2,
65,AcceptableTitleNominal,Titre,Severe,0.0,16,
97,NumeralDigit,Chiffre,Majeur,0.0,41,
110,TooFewItemsInList,Liste,Majeur,0.0,3,
64,AcceptableTitleMaj,Titre,Mineur,0.0,8,
104,ProhibitedPunctuationExceptItems,Ponctuation,Mineur,0.0,6,
59,AcceptableItem,Liste,Mineur,0.0,3,
62,AcceptableTitleLevelMax,Titre,Majeur,0.0,2,
106,ProhibitedPunctuationForTitles,Ponctuation,Mineur,0.0,9,
60,AcceptableTitleArt,Titre,Mineur,0.0,10,
114,TooManyItemsInList,Liste,Majeur,0.0,2,
80,GIFASParagraphSentenceCount,Paragraphe,Mineur,0.0,3,
88,ListWithIntroductorySentenceParagraph,Liste,Majeur,0.0,4,
67,AcceptableTitleNotEmpty,Titre,Severe,0.0,11,
